category,index
床褥,7
开放式衣柜,7
枕头,7
沙发床,7
客用床和坐卧两用床,7
床垫保护垫和枕套,7
床罩,7
抽屉柜,7
落地灯,7
带储物床,7
木条床板,7
灯罩、灯座和电线,7
衣物储藏件,7
靠垫和靠垫套,7
地毯,7
射灯,7
床垫底座,7
挂钩和衣架,7
镜子,7
高架床和双层床,7
内置照明,7
床边桌,7
毯子和休闲毯,7
床用储物件,7
灯泡和配件,7
窗帘和百页帘,7
LED灯具,7
床头板,7
梳妆台,7
窗帘杆和轨道,7
布料和缝纫用品,7
连壁搁板,7
书桌和电脑桌,6
工作灯,6
连壁搁板,6
LED灯具,6
储物柜,6
办公椅,6
桌面和桌腿,6
壁灯,6
抽屉柜,6
灯罩、灯座和电线,6
电线整理和配件,6
书柜,6
筐子和袋子,6
落地灯,6
内置照明,6
搁架单元,6
文件和多媒体储藏件,6
橱柜和展示柜,6
顶灯,6
台灯,6
餐边柜和长几,6
射灯,6
灯泡和配件,6
儿童床,9
儿童床8-12,9
婴儿床,9
儿童床垫 (3-7岁),9
儿童床垫（8-12岁）,9
婴儿纺织品,9
儿童专用纺织品（8-12岁）,9
儿童纺织品（3-7岁）,9
婴儿床垫,9
儿童桌椅（8-12岁）,9
婴儿玩具,9
小家具,9
储物家具,9
换衣桌和婴儿护理,9
玩具和玩耍,9
储物系列,9
儿童镜子,9
高脚椅,9
儿童椅,9
婴儿餐具,9
小型储物装置,9
儿童用品8-12,9
儿童餐具,9
儿童照明（8-12岁）,9
安全,9
儿童灯具,9
顶灯,3
壁灯,3
抽屉柜,3
连壁搁板,3
储物盒和储物篮,3
台灯,3
开放式衣类储物系列,3
内置照明,3
鞋架和衣帽架,3
射灯,3
镜子,3
鞋柜,3
圆凳和长凳,3
落地灯,3
衣帽架,3
灯罩、灯座和电线,3
衣柜,3
衣物储藏件,3
固定式衣柜,3
挂钩和衣架,3
灯泡和配件,3
LED灯具,3
开放式衣柜,3
储物盒和储物篮,17
储物系列,17
开放式衣类储物系列,17
筐子和袋子,17
衣物储藏件,17
食品贮藏室,17
挂钩和衣架,17
连壁搁板,17
垃圾分类,17
衣帽架,17
工具和安装件,17
衣柜,17
衣物洗涤和清洁,16
开放式衣类储物系列,16
衣物储藏件,16
挂钩和衣架,16
毛巾,16
洗脸池柜,16
浴室储物,16
浴室防滑垫,16
洗脸池,16
浴帘,16
水龙头,16
浴室镜,16
浴室配件,16
浴室照明,16
浴袍/拖鞋,16
顶灯,18
台灯,18
落地灯,18
工作灯,18
灯罩、灯座和电线,18
内置灯具,18
射灯,18
壁灯,18
儿童灯具,18
灯泡和配件,18
电池和充电器,18
LED灯具,18
装饰性灯具,18
户外照明,18
浴室照明,18
儿童照明（8-12岁）,18
图片和框架,20
蜡烛和蜡台,20
花盆和花架,20
花瓶和碗,20
装饰配件,20
时钟,20
镜子,20
纸品屋,20
储物盒和储物篮,17
文件和多媒体储藏件,17
挂钩和衣架,17
筐子和袋子,17
垃圾分类,17
衣物储藏件,17
浴室配件,17
食品储存与整理,17
地毯,13
床上用品,13
毛巾,13
浴室防滑垫,13
被子,13
枕头,13
浴帘,13
窗帘和百页帘,13
床罩,13
窗帘杆和轨道,13
布料和缝纫用品,13
靠垫和靠垫套,13
毯子和休闲毯,13
厨房纺织品,13
餐桌用纺织品,13
儿童纺织品（3-7岁）,13
婴儿纺织品,13
儿童专用纺织品（8-12岁）,13
床垫保护垫和枕套,13
深锅和烧锅,12
煎锅和炒锅,12
食品储存与整理,12
烘焙器具,12
烹饪配件,12
厨具,12
刀具和砧板,12
烤箱器皿,12
厨房纺织品,12
搅拌和测量工具,12
洗碗配件,12
餐具,4
玻璃器皿和水壶,4
餐桌用纺织品,4
餐巾纸和纸巾架,4
刀叉餐具,4
上菜用具,4
咖啡和茶,4
婴儿餐具,4
儿童餐具,4
浴袍/拖鞋,10
自行车和自行车配件,10
旅行袋和旅行背包,10
书和游戏,10
游戏与休闲,10
安全,10
